State,County,Latitude,Longitude
AL,Autauga,32.536382,-86.64449
AL,Baldwin,30.659218,-87.746067
AL,Barbour,31.87067,-85.405456
AL,Bibb,33.015893,-87.127148
AL,Blount,33.977448,-86.567246
AL,Bullock,32.101759,-85.717261
AL,Butler,31.751667,-86.681969
AL,Calhoun,33.771706,-85.822513
AL,Chambers,32.917943,-85.391812
AL,Cherokee,34.069515,-85.654242
AL,Chilton,32.85406,-86.726628
AL,Choctaw,31.991008,-88.248887
AL,Clarke,31.685521,-87.818624
AL,Clay,33.267809,-85.862051
AL,Cleburne,33.671981,-85.516109
AL,Coffee,31.402183,-85.989201
AL,Colbert,34.703112,-87.801457
AL,Conecuh,31.428293,-86.992029
AL,Coosa,32.931445,-86.243482
AL,Covington,31.243987,-86.448721
AL,Crenshaw,31.732826,-86.319222
AL,Cullman,34.131923,-86.869267
AL,Dale,31.430654,-85.609476
AL,Dallas,32.33354,-87.114356
AL,DeKalb,34.460929,-85.803992
AL,Elmore,32.597229,-86.142739
AL,Escambia,31.121748,-87.168429
AL,Etowah,34.047638,-86.03442
AL,Fayette,33.732249,-87.752049
AL,Franklin,34.441988,-87.842815
AL,Geneva,31.090866,-85.824346
AL,Greene,32.844497,-87.964201
AL,Hale,32.752796,-87.623061
AL,Henry,31.516978,-85.239971
AL,Houston,31.158193,-85.296398
AL,Jackson,34.763522,-85.9774
AL,Jefferson,33.553444,-86.896536
AL,Lamar,33.787085,-88.087431
AL,Lauderdale,34.904122,-87.650997
AL,Lawrence,34.529776,-87.321865
AL,Lee,32.604064,-85.353048
AL,Limestone,34.810239,-86.9814
AL,Lowndes,32.147888,-86.650586
AL,Macon,32.387027,-85.692887
AL,Madison,34.764238,-86.55108
AL,Marengo,32.247591,-87.791091
AL,Marion,34.138219,-87.881551
AL,Marshall,34.309564,-86.321668
AL,Mobile,30.684573,-88.196568
AL,Monroe,31.580332,-87.383266
AL,Montgomery,32.203651,-86.203831
AL,Morgan,34.454484,-86.846402
AL,Perry,32.639005,-87.293827
AL,Pickens,33.296809,-88.096878
AL,Pike,31.798726,-85.941997
AL,Randolph,33.296475,-85.464068
AL,Russell,32.289811,-85.18698
AL,St. Clair,33.712963,-86.315663
AL,Shelby,33.262937,-86.678104
AL,Sumter,32.597481,-88.200057
AL,Talladega,33.369277,-86.175805
AL,Tallapoosa,32.863369,-85.799553
AL,Tuscaloosa,33.290202,-87.52286
AL,Walker,33.791571,-87.301092
AL,Washington,31.406974,-88.202078
AL,Wilcox,31.99033,-87.302205
AL,Winston,34.155888,-87.364147
AK,Aleutians East,55.243722,-161.950749
AK,Aleutians West [4],51.959447,-178.338813
AK,Anchorage,61.177549,-149.274354
AK,Bethel [4],60.928916,-160.15335
AK,Bristol Bay,58.731373,-156.986612
AK,Denali,63.682732,-150.026719
AK,Dillingham [4],59.824816,-158.602233
AK,Fairbanks North Star,64.690832,-146.599867
AK,Haines,59.099905,-135.578102
AK,Hoonah-Angoon [4],58.076434,-135.1851
AK,Juneau,58.3727,-134.178781
AK,Kenai Peninsula,60.366373,-152.321973
AK,Ketchikan Gateway,55.449938,-131.106685
AK,Kodiak Island,57.553611,-153.630911
AK,Lake and Peninsula,58.205065,-156.705188
AK,Matanuska-Susitna,62.182174,-149.407974
AK,Nome [4],64.783686,-164.188912
AK,North Slope,69.449343,-153.47283
AK,Northwest Arctic,67.005066,-160.021086
AK,Petersburg [4],56.639612,-133.527996
AK,Prince of Wales-Hyder [4],55.415683,-132.875734
AK,Sitka,57.142509,-135.332624
AK,Skagway,59.575097,-135.335418
AK,Southeast Fairbanks [4],63.864997,-143.218628
AK,Valdez-Cordova [4],61.34984,-145.023141
AK,Wade Hampton [4],62.283174,-163.19095
AK,Wrangell,56.279121,-132.040326
AK,Yakutat,59.999083,-140.239593
AK,Yukon-Koyukuk [4],65.376131,-151.576855
AZ,Apache,35.385845,-109.493747
AZ,Cochise,31.881793,-109.75412
